Years,Sales,Profit,Expenses,Customers,Region
2015,100,20,80,200,North
2015,95,18,77,195,South
2015,110,22,88,210,East
2015,105,21,84,205,West
2015,98,19,79,198,North
2016,150,30,120,240,South
2016,145,28,117,235,East
2016,155,31,124,245,West
2016,148,29,119,238,North
2016,152,30,122,242,South
2017,200,50,150,300,East
2017,195,48,147,295,West
2017,205,52,153,305,North
2017,198,49,149,298,South
2017,202,51,151,302,East
2018,180,40,140,280,West
2018,175,38,137,275,North
2018,185,42,143,285,South
2018,178,39,139,278,East
2018,182,41,141,282,West
2019,250,60,190,350,North
2019,245,58,187,345,South
2019,255,62,193,355,East
2019,248,59,189,348,West
2019,252,61,191,352,North
2020,270,65,205,370,South
2020,265,63,202,365,East
2020,275,67,208,375,West
2020,268,64,204,368,North
2020,272,66,206,372,South
2021,290,70,220,390,East
2021,285,68,217,385,West
2021,295,72,223,395,North
2021,288,69,219,388,South
2021,292,71,221,392,East
2022,310,75,235,410,West
2022,305,73,232,405,North
2022,315,77,238,415,South
2022,308,74,234,408,East
2022,312,76,236,412,West
2023,330,80,250,430,North
2023,325,78,247,425,South
2023,335,82,253,435,East
2023,328,79,249,428,West
2023,332,81,251,432,North
2024,350,85,265,450,South
2024,345,83,262,445,East
2024,355,87,268,455,West
2024,348,84,264,448,North
2024,352,86,266,452,South
2015,102,20,82,202,East
2015,97,19,78,197,West
2015,108,21,87,208,North
2015,103,20,83,203,South
2015,99,19,80,199,East
2016,153,30,123,243,West
2016,147,29,118,237,North
2016,158,32,126,248,South
2016,151,30,121,241,East
2016,149,29,120,239,West
2017,203,51,152,303,North
2017,197,49,148,297,South
2017,208,52,156,308,East
2017,201,50,151,301,West
2017,199,49,150,299,North
2018,183,41,142,283,South
2018,177,39,138,277,East
2018,188,42,146,288,West
2018,181,40,141,281,North
2018,179,39,140,279,South
2019,253,61,192,353,East
2019,247,59,188,347,West
2019,258,63,195,358,North
2019,251,60,191,351,South
2019,249,59,190,349,East
2020,273,66,207,373,West
2020,267,64,203,367,North
2020,278,68,210,378,South
2020,271,65,206,371,East
2020,269,64,205,369,West
2021,293,71,222,393,North
2021,287,69,218,387,South
2021,298,73,225,398,East
2021,291,70,221,391,West
2021,289,69,220,389,North
2022,313,76,237,413,South
2022,307,74,233,407,East
2022,318,78,240,418,West
2022,311,75,236,411,North
2022,309,74,235,409,South
2023,333,81,252,433,East
2023,327,79,248,427,West
2023,338,83,255,438,North
2023,331,80,251,431,South
2023,329,79,250,429,East
2024,353,86,267,453,West
2024,347,84,263,447,North
2024,358,88,270,458,South
2024,351,85,266,451,East
2024,349,84,265,449,West
